"region","addr","name","movein","movein_ym","household"
"경기","경기 양주시","양주백석모아엘가그랑데","2027년 10월","202710","929"
"경기","경기 고양 덕양구","고양창릉S5 공공분양","2027년 10월","202710","759"
"경기","경기 광명 광명동","광명롯데캐슬시그니처","2027년 10월","202710","1509"
"경기","경기 의정부 의정부동","더샵의정부역링크시티","2027년 10월","202710","1401"
"경기","경기 수원 팔달구 우만동","효성해링턴플레이스동수원(주상복합)","2027년 10월","202710","162"
"인천","인천 동구 송림동","리아츠더인천","2027년 10월","202710","378"
"충남","충남 아산 탕정면","더샵탕정인피니티시티3차","2027년 10월","202710","1163"
"대전","대전 서구 괴정동","둔산엘리프더센트럴","2027년 10월","202710","864"
"경북","경북 안동 용상동","안동용상하늘채리버스카이","2027년 10월","202710","548"
"부산","부산 강서구","부산에코델타시티대방엘리움리버뷰","2027년 10월","202710","470"
"전남","전남 순천시","순천한양립스파크포레","2027년 10월","202710","463"
"광주","광주 남구","진월더리브라포레","2027년 10월","202710","300"
"서울","서울 서초구","디에이치클래스트","2027년 11월","202711","5007"
"경기","경기 양주시","양주용암영무예다음더퍼스트","2027년 11월","202711","644"
"경기","경기 파주 문산읍","문산역3차동문디이스트센트럴","2027년 11월","202711","951"
"경기","경기 의왕시","의왕월암A-1블록 신혼희망타운","2027년 11월","202711","674"
"경기","경기 안산 단원구 고잔동","롯데캐슬시그니처중앙","2027년 11월","202711","1051"
"경기","경기 광명시","광명유승한내들라포레","2027년 11월","202711","444"
"경기","경기 의정부 금오동","의정부롯데캐슬나리벡시티","2027년 11월","202711","671"
"인천","인천 계양구 효성동","계양롯데캐슬파크시티1단지","2027년 11월","202711","1964"
"인천","인천 계양구 효성동","계양롯데캐슬파크시티2단지","2027년 11월","202711","1089"
"강원","강원 원주 원동","원주푸르지오더센트럴","2027년 11월","202711","1502"
"대전","대전 동구","대전롯데캐슬더퍼스트","2027년 11월","202711","952"
"부산","부산 동래구 수안동","동래롯데캐슬시그니처","2027년 11월","202711","870"
"울산","울산 남구 야음동","번영로하늘채라크뷰","2027년 11월","202711","803"
"광주","광주 광산구","한양립스에듀포레","2027년 11월","202711","470"
"제주","제주 제주 오라이동","위파크제주1단지","2027년 11월","202711","686"
"제주","제주 제주 오라이동","위파크제주2단지","2027년 11월","202711","643"
"서울","서울 강동구 둔촌동","올림픽파크서한포레스트(주상복합)","2027년 12월","202712","128"
"경기","경기 양주 덕계동","덕계역한신더휴포레스트","2027년 12월","202712","724"
"경기","경기 김포 북변동","김포북변우미린파크리브","2027년 12월","202712","1200"
"경기","경기 용인 처인구","힐스테이트용인마크밸리","2027년 12월","202712","660"
"경기","경기 의왕시","의왕월암지구대방디에트르레이크파크","2027년 12월","202712","703"
"경기","경기 고양 덕양구","고양창릉S6 공공분양","2027년 12월","202712","430"
"경기","경기 평택시","평택화양서희스타힐스센트럴파크2차","2027년 12월","202712","815"
"경기","경기 안양 동안구 비산동","평촌자이퍼스니티","2027년 12월","202712","2737"
"경기","경기 의정부 금오동","의정부푸르지오클라시엘","2027년 12월","202712","656"
"경기","경기 성남 수정구 산성동","산성역헤리스톤","2027년 12월","202712","3487"
"인천","인천 연수구 옥련동","래미안센트리폴3BL","2027년 12월","202712","1024"
"충남","충남 아산 탕정면","아산탕정자이퍼스트시티","2027년 12월","202712","797"
"충남","충남 천안 서북구 성성동","천안아이파크시티","2027년 12월","202712","1126"
"충남","충남 천안 서북구","천안두정역양우내안애퍼스트로","2027년 12월","202712","416"
"대전","대전 유성구 학하동","힐스테이트도안리버파크3단지","2027년 12월","202712","1639"
"부산","부산 사하구 감천동","사하경남아너스빌시그니처","2027년 12월","202712","380"
"부산","부산 동구 범일동","e편한세상범일국제금융시티(주상복합)","2027년 12월","202712","856"
"광주","광주 남구 송하동","송암공원중흥S-클래스SK뷰","2027년 12월","202712","1575"
"경기","경기 평택 가재동","지제역반도체밸리쌍용더플래티넘","2027년 1월","202710","1340"
"경기","경기 평택시","평택브레인시티대광로제비앙그랜드센텀","2027년 1월","202710","1182"
"경기","경기 부천 소사구","부천아테라자이","2027년 1월","202710","200"
"충북","충북 청주 흥덕구 송절동","신영지웰푸르지오테크노폴리스센트럴(주상복합)","2027년 1월","202710","1034"
"충북","충북 청주 흥덕구 가경동","청주가경아이파크6단지","2027년 1월","202710","946"
"경북","경북 안동 옥동","위파크안동호반","2027년 1월","202710","820"
"울산","울산 중구 우정동","울산우정에피트","2027년 1월","202710","533"
